id,longitude,latitude,lsoa_location,police_force,date,severity,vehicles,casualties,road_type,speed_limit,weather,road_conditions,human_crossing
12515,-3.262559,51.406789,W01001910,62,2018-11-18,3,2,1,6,30,1,0,0
12516,-3.189809,51.447836,W01001076,62,2018-12-05,3,2,3,3,40,2,0,0
12517,-3.933952,51.621803,W01000850,62,2018-12-04,3,3,1,3,30,2,0,0
12518,-3.455274,51.631339,W01001201,62,2018-11-27,3,1,1,6,30,9,0,0
12519,-3.45723,51.619329,W01001248,62,2018-11-10,3,2,1,6,50,1,0,0
12520,-3.177258,51.47627,W01001941,62,2018-12-30,3,2,1,6,30,1,0,0
12521,-3.113239,51.524175,W01001840,62,2018-12-14,2,1,1,6,30,1,0,0
12522,-3.510395,51.66216,W01001273,62,2018-12-05,3,1,1,6,30,2,0,0
12523,-3.723269,51.489839,W01001054,62,2018-12-26,3,1,1,6,30,1,0,0
12524,-3.540701,51.409775,W01001110,62,2018-12-29,3,1,1,9,60,7,0,0
12525,-3.364941,51.757806,W01001311,62,2018-12-10,3,3,1,6,20,8,0,0
12526,-3.201231,51.457548,W01001104,62,2018-11-16,3,3,1,3,70,1,0,0
12527,-3.2053,51.477082,W01001711,62,2018-12-19,2,2,1,6,30,1,0,0
12528,-3.962821,51.617871,W01000869,62,2018-12-23,2,1,1,6,30,1,0,0
12529,-3.450851,51.619947,W01001248,62,2018-11-09,3,1,2,6,30,2,0,0
12530,-3.597672,51.544105,W01000974,62,2018-04-19,3,2,4,6,30,1,0,0
12531,-3.520529,51.543631,W01001039,62,2018-06-04,3,1,1,6,60,8,0,0
12532,-3.702131,51.510569,W01001000,62,2018-05-23,3,1,1,6,30,1,0,0
12533,-3.215509,51.433698,W01001086,62,2018-04-28,3,2,2,6,30,1,0,0
12534,-3.855083,51.72184,W01000948,62,2018-02-01,3,2,2,6,30,1,0,0
12535,-3.183883,51.527476,W01001791,62,2018-03-07,3,1,1,6,30,1,0,1
12536,-3.153903,51.481466,W01001873,62,2018-03-09,3,2,1,6,20,2,0,0
12537,-3.437002,51.591694,W01001253,62,2018-06-17,3,1,1,6,60,2,0,0
12538,-3.371842,51.531947,W01001225,62,2018-05-12,3,1,1,3,40,1,0,0
12539,-3.298942,51.579319,W01001184,62,2018-04-16,3,1,1,6,30,1,0,0
12540,-3.336007,51.603514,W01001258,62,2018-01-05,3,2,1,7,30,1,0,0
12541,-3.542686,51.638874,W01001024,62,2018-03-20,3,2,2,6,60,1,0,0
12542,-3.757469,51.576055,W01000968,62,2018-02-13,3,2,2,6,30,1,0,0
12543,-3.964777,51.613,W01000873,62,2018-02-24,3,2,1,6,30,1,0,0
12544,-3.95035,51.635947,W01000764,62,2018-02-14,2,2,2,6,20,1,0,0
12545,-3.472099,51.698902,W01001154,62,2018-03-10,3,1,1,6,60,2,0,0
12546,-3.70237,51.48179,W01001046,62,2018-07-20,3,1,2,6,30,1,0,0
12547,-3.178087,51.483302,W01001939,62,2018-05-19,3,1,1,6,30,1,0,0
12548,-3.167535,51.476727,W01001951,62,2018-03-08,3,1,1,6,30,1,0,0
12549,-3.901836,51.801151,W01000656,63,2018-01-01,3,2,1,6,30,1,0,0
12550,-4.399355,51.845107,W01000649,63,2018-01-02,3,1,1,3,70,5,0,0
12551,-4.120561,51.745522,W01000699,63,2018-12-31,3,2,1,6,50,1,0,0
12552,-4.063047,51.745467,W01000699,63,2018-01-03,3,2,1,1,40,1,0,0
12553,-4.262985,51.687919,W01000710,63,2018-02-26,2,2,3,2,30,1,0,0
12554,-3.963259,51.932867,W01000709,63,2018-05-27,1,2,2,6,60,1,0,0
12555,-3.796729,51.995413,W01000679,63,2018-01-05,3,2,1,2,30,1,0,0
12556,-4.48025,51.787402,W01000673,63,2018-01-05,3,2,1,6,50,1,0,0
12557,-4.285119,51.868605,W01000640,63,2018-01-06,3,2,2,6,30,1,0,0
12558,-4.630651,51.820195,W01000735,63,2018-01-06,3,3,2,6,60,1,0,0
12559,-4.285572,51.825971,W01000722,63,2018-08-12,1,2,2,6,30,2,0,0
12560,-4.15338,51.674062,W01000631,63,2018-01-08,3,2,1,6,30,1,0,0
12561,-4.369736,51.847866,W01000644,63,2018-10-27,1,2,4,3,70,1,0,0
12562,-4.598458,51.787816,W01000672,63,2018-11-06,1,2,1,6,60,4,0,0
12563,-4.119342,51.741137,W01000699,63,2018-11-21,1,1,1,6,50,1,0,0
12564,-4.152214,51.829297,W01000675,63,2018-01-10,3,3,1,3,70,7,0,0
12565,-4.398545,52.034422,W01000689,63,2018-01-10,3,1,1,6,40,7,0,0
12566,-3.988505,51.793063,W01000626,63,2018-01-12,2,1,1,6,30,1,0,0
12567,-4.100663,51.672589,W01000635,63,2018-01-05,3,3,1,6,30,1,0,0
12568,-4.177601,51.684497,W01000667,63,2018-01-11,3,2,1,6,30,9,0,0
12569,-4.170653,51.69047,W01000667,63,2018-01-12,2,3,1,6,30,1,0,0
12570,-4.146579,51.670949,W01001923,63,2018-01-11,3,2,2,6,30,1,0,0
12571,-4.432069,51.996594,W01000689,63,2018-01-14,3,1,1,6,60,1,0,0
12572,-4.066182,51.715736,W01000666,63,2018-01-15,3,1,2,3,70,5,0,0
12573,-4.295727,51.908596,W01000649,63,2018-01-12,3,2,1,6,60,1,0,0
12574,-4.249951,51.690597,W01000710,63,2018-01-12,3,2,1,6,30,1,0,0
12575,-4.13601,51.701447,W01000655,63,2018-01-18,3,2,2,6,30,1,0,0
12576,-4.042641,51.768394,W01000731,63,2018-01-18,2,2,1,6,40,1,0,0
12577,-4.133941,51.679003,W01000628,63,2018-01-20,3,2,1,1,40,1,0,0
12578,-4.022175,51.793657,W01000725,63,2018-01-19,3,3,1,6,30,1,0,0
12579,-4.086403,51.83417,W01000664,63,2018-01-21,2,1,2,6,60,2,0,0
12580,-4.279164,51.868631,W01000640,63,2018-01-22,3,3,1,1,70,1,0,0
12581,-3.98196,51.792634,W01000626,63,2018-01-25,3,2,3,6,30,2,0,0
12582,-3.829715,52.018464,W01000647,63,2018-01-22,3,1,1,6,60,1,0,0
12583,-4.567089,51.917107,W01000728,63,2018-01-25,3,2,1,6,40,1,0,0
12584,-4.083249,51.797267,W01000697,63,2018-01-26,3,3,1,1,30,1,0,0
12585,-4.14576,52.080842,W01000701,63,2018-01-26,2,1,1,6,50,1,0,0
12586,-4.268013,52.02217,W01000685,63,2018-02-03,3,1,1,6,60,2,0,0
12587,-4.154798,51.691752,W01000704,63,2018-01-25,3,3,1,6,30,1,1,0
12588,-4.107431,51.737305,W01000699,63,2018-02-03,3,1,1,6,60,2,0,0
12589,-4.068686,51.729361,W01000665,63,2018-01-30,3,3,1,3,70,2,0,0
12590,-4.261458,51.842894,W01000694,63,2018-02-06,3,3,1,3,70,1,0,0
12591,-4.086079,52.096751,W01000701,63,2018-02-07,3,2,1,6,50,1,0,0
12592,-4.433669,51.899798,W01000728,63,2018-02-07,3,1,1,6,30,3,0,0
12593,-4.30489,51.851853,W01000694,63,2018-02-07,3,2,2,6,30,1,0,0
12594,-4.124042,51.693121,W01000651,63,2018-02-06,3,3,1,6,60,3,4,0
12595,-4.127603,51.722733,W01000726,63,2018-02-09,3,1,1,6,40,4,0,0
12596,-4.048869,52.084455,W01000701,63,2018-02-10,3,1,1,6,50,1,0,0
12597,-4.229112,51.687577,W01000634,63,2018-02-10,3,2,2,1,40,2,0,0
12598,-4.392078,51.847503,W01000649,63,2018-01-29,3,2,4,6,60,7,0,0
12599,-4.035666,51.78731,W01000724,63,2018-02-10,3,2,1,6,20,1,0,1
12600,-4.198201,51.834831,W01000675,63,2018-02-12,3,1,1,3,70,5,0,0
12601,-4.05838,51.712905,W01000666,63,2018-02-12,3,1,1,2,30,1,0,0
12602,-4.567784,51.865561,W01000674,63,2018-02-12,3,2,2,6,60,1,0,0
12603,-4.313417,51.904832,W01000649,63,2018-02-16,3,1,1,6,30,1,0,0
12604,-3.969412,51.780885,W01000627,63,2018-02-16,3,1,1,6,60,1,0,0
12605,-4.301389,51.729079,W01000671,63,2018-02-12,2,2,2,6,40,1,0,0
12606,-4.131193,51.823655,W01000675,63,2018-02-16,3,3,2,3,70,1,4,0
12607,-4.049727,51.86395,W01000684,63,2018-02-16,2,2,1,2,60,1,0,0
12608,-4.279877,51.874102,W01000624,63,2018-02-15,3,2,1,6,50,1,0,0
12609,-4.060072,51.746958,W01000699,63,2018-02-15,3,2,1,6,40,1,0,0
12610,-3.973199,51.79458,W01000715,63,2018-02-18,3,1,1,6,30,1,0,0
12611,-3.945025,51.911498,W01000709,63,2018-02-18,3,1,1,6,50,1,0,0
12612,-4.042143,51.783061,W01000724,63,2018-02-20,3,2,1,6,30,1,0,0
12613,-4.142022,51.804124,W01000663,63,2018-02-18,3,2,1,2,30,2,0,0
12614,-4.239396,51.840079,W01000694,63,2018-02-13,3,3,1,3,70,1,4,0
12615,-4.134251,51.679447,W01000628,63,2018-02-21,3,2,1,1,40,1,0,0
12616,-4.392068,51.847324,W01000649,63,2018-02-22,3,4,1,3,70,1,0,0
12617,-4.09306,51.664541,W01000635,63,2018-02-22,3,4,1,6,60,1,0,0
12618,-4.567789,51.865651,W01000674,63,2018-02-21,3,2,1,6,60,1,0,0
12619,-4.06291,51.745649,W01000699,63,2018-02-24,3,2,1,1,40,1,0,0
12620,-4.267811,51.69475,W01000710,63,2018-02-19,3,1,2,6,60,1,0,0
12621,-4.299507,51.714817,W01000710,63,2018-02-25,3,2,1,6,60,1,0,0
12622,-4.177843,51.852116,W01000675,63,2018-02-25,3,2,1,6,60,1,0,0
12623,-4.063948,51.74617,W01000699,63,2018-02-16,3,2,2,1,30,1,1,0
12624,-4.64183,51.847554,W01000735,63,2018-03-06,3,2,1,6,60,1,0,0
