id,longitude,latitude,lsoa_location,police_force,date,severity,vehicles,casualties,road_type,speed_limit,weather,road_conditions,human_crossing,geom
139,-3.03604,53.063978,W01000401,60,2016-02-11,2,1,1,6,30,1,0,0,0101000020346C0000A8C8D333B82E14415000D065A5811541
140,-3.574298,53.2842,W01000178,60,2016-02-12,3,1,1,6,30,1,0,0,0101000020346C000094DF46609503124148208A29AC0A1741
141,-4.217094,53.209181,W01000027,60,2016-02-13,3,1,1,6,50,1,0,0,0101000020346C0000F88969DA0BC40E41A4BA0BFF0F9A1641
142,-4.08727,53.105687,W01000081,60,2016-02-13,2,2,1,6,60,1,0,0,0101000020346C0000ECA1EAB174C80F4176B18ADC1EE21541
143,-3.48173,53.313335,W01000236,60,2016-02-13,2,2,1,6,20,1,0,0,0101000020346C00003186B5200E65124197650A2C403B1741
144,-4.210404,53.1755,W01000119,60,2016-02-16,3,4,1,6,60,1,4,0,0101000020346C000082BA034D63CE0E41720F35F34F5F1641
145,-3.078764,53.191601,W01000286,60,2016-02-17,3,2,5,3,70,1,0,0,0101000020346C0000B9929D1D54051441BB1E4C8222601641
146,-2.940091,53.0335,W01000383,60,2016-02-18,2,2,1,6,40,1,0,0,0101000020346C000038CEC39D7C921441C6B6EE0D494B1541
147,-4.066707,52.929968,W01000101,60,2016-02-19,2,1,1,6,30,2,0,0,0101000020346C0000F1731E2FDCE10F416644DA791DB01441
148,-4.122261,53.227874,W01000062,60,2016-02-20,2,3,1,6,30,2,0,0,0101000020346C0000CE04D9A5DC8B0F41512F7C1C8CB71641
149,-3.019755,53.071373,W01000379,60,2016-02-18,3,2,1,6,30,1,0,0,0101000020346C000038587512F43F1441AD5FAC4D418E1541
150,-3.672274,53.290444,W01000163,60,2016-02-22,3,1,2,6,40,1,0,0,0101000020346C0000AB2D52D3C89D11410853D801D8171741
151,-4.132732,53.229953,W01000092,60,2016-02-23,2,1,1,6,30,1,0,0,0101000020346C0000E47ABAB43C760F4146B510477CBB1641
152,-2.945989,53.179506,W01000329,60,2016-02-24,2,2,1,6,30,1,0,0,0101000020346C0000758827C5A88F1441AD45E65826491641
153,-3.781927,53.121377,W01000134,60,2016-02-24,3,2,2,6,60,1,0,0,0101000020346C0000041B79EA432411418C959DF7C2F41541
154,-4.0834,53.214382,W01000050,60,2016-02-24,3,2,2,6,60,1,0,0,0101000020346C00008FE380408DDB0F4161E3FA24E89E1641
155,-3.284736,53.015102,W01000207,60,2016-02-24,3,2,1,6,60,1,0,0,0101000020346C0000D52719A5CE281341407B2B64E9301541
156,-3.119344,53.207183,W01000323,60,2016-02-24,2,2,3,6,50,1,0,0,0101000020346C0000AC18AAC963DB13411A028AAADE7B1641
157,-4.119069,53.275465,W01000005,60,2016-02-24,3,1,1,6,60,8,0,0,0101000020346C0000829375C06C970F410C06FAAC280A1741
158,-4.173008,53.240904,W01000042,60,2016-02-24,2,2,1,6,40,1,0,0,0101000020346C0000A6F3632A64230F41A5ECC948C8CF1641
159,-3.585722,53.284839,W01000179,60,2016-02-25,3,1,1,6,30,1,0,0,0101000020346C00001B07F96CB5F711419575C1DA0B0C1741
160,-3.46459,52.967092,W01000082,60,2016-02-25,1,3,4,6,60,1,0,0,0101000020346C00007CA4276A956A124117AD831D15E11441
161,-3.680591,53.291739,W01000127,60,2016-02-25,3,2,1,6,30,1,0,0,0101000020346C0000D5AE17F82C9511411F27EE3F4C1A1741
162,-3.484177,53.324155,W01000228,60,2016-02-25,3,1,1,6,30,1,0,0,0101000020346C00004494BA1DE6621241AA35E0311C4E1741
163,-3.058394,53.077904,W01000348,60,2016-02-26,3,2,1,6,30,1,0,0,0101000020346C0000C4AD6AF8AB1714413A80178A319A1541
164,-3.729279,52.944781,W01000083,60,2016-02-26,3,1,2,6,60,1,0,0,0101000020346C00002E36F221E8531141077F54247DC01441
165,-3.65317,53.0662,W01000159,60,2016-02-27,1,2,3,6,60,1,0,0,0101000020346C0000B7A5C3A9ACA811410923F0FCA1911541
166,-4.264625,52.976225,W01000066,60,2016-02-27,2,2,5,6,40,1,0,0,0101000020346C00001AFDE95942470E419C79EDF8C5061541
167,-3.517459,53.304094,W01000151,60,2016-02-27,2,2,1,1,30,1,0,0,0101000020346C0000E6B22ADA853F1241D9E54837F82B1741
168,-3.410568,53.18818,W01000196,60,2016-02-27,3,2,1,6,30,1,0,0,0101000020346C00009F0A1440D6AA124106B7322137601641
169,-3.082624,53.168355,W01000262,60,2016-02-28,3,1,1,6,30,1,0,0,0101000020346C00009A471807B000144138619949CA371641
170,-4.237295,52.918911,W01000061,60,2016-02-29,3,1,1,6,30,2,0,0,0101000020346C0000B2F73187627A0E4173955A9345A21441
171,-4.11955,53.233056,W01000077,60,2016-02-29,3,2,1,6,30,1,0,0,0101000020346C0000CE60F4F10C920F41A2041D2B78C01641
172,-2.926973,53.039311,W01000383,60,2016-03-01,3,2,1,6,30,1,0,0,0101000020346C0000A9C8E8B75CA014416CE60AEF34551541
173,-4.402135,52.975512,W01000078,60,2016-03-01,3,2,1,6,30,1,0,0,0101000020346C0000A0F38D68B0260D41C87F8F363A0A1541
174,-4.176522,53.170441,W01000053,60,2016-03-02,3,1,3,6,60,1,0,0,0101000020346C00002D0A57F79B140F418D726C796F551641
175,-3.022832,53.206801,W01000328,60,2016-03-02,3,2,2,6,30,2,0,0,0101000020346C0000F756AC7B184014419711FF90B2791641
176,-2.980832,53.17001,W01000255,60,2016-03-02,3,3,1,6,30,5,0,0,0101000020346C0000B7FA5E790C6B14414AFA194922391641
177,-3.418147,53.324311,W01000221,60,2016-03-03,3,2,1,6,30,1,0,0,0101000020346C00009A7E9A8D9EA71241FE98AA22FC4C1741
178,-3.260439,53.132679,W01000204,60,2016-03-03,2,1,1,6,60,1,0,0,0101000020346C00009A8169D2DE451341CDFB6E40D2FC1541
179,-3.126572,53.165359,W01000315,60,2016-03-03,3,2,1,6,30,1,0,0,0101000020346C0000C894D3C7B3D21341B28AD98E4A331641
180,-3.036982,53.205582,W01000336,60,2016-03-03,2,1,1,6,30,1,0,0,0101000020346C000071F609684C311441DC4F7593CA771641
181,-2.998388,53.054267,W01000371,60,2016-03-03,3,1,1,6,30,2,0,0,0101000020346C00005ECB1645E85514418701E01035701541
182,-3.835447,52.761798,W01000057,60,2016-03-04,2,2,1,6,60,1,0,0,0101000020346C00000460960A53DC10411EB558573F851341
183,-3.086013,53.229678,W01000275,60,2016-03-04,3,2,2,6,30,1,0,0,0101000020346C0000EE85DA21C4FE1341AE5A90136FA21641
184,-3.827637,53.323172,W01000169,60,2016-03-05,3,1,2,6,30,1,0,0,0101000020346C000068D1D14870FD1041F87C0EA1B0541741
185,-3.193165,53.242839,W01000258,60,2016-03-06,3,2,3,6,40,1,0,0,0101000020346C0000D74E3574638F13416F54B45417BB1641
186,-3.828343,52.734081,W01000067,60,2016-03-07,3,2,2,6,60,8,0,0,0101000020346C0000B7C486F496E210415FE93333E3541341
187,-2.974257,53.043437,W01000413,60,2016-03-07,2,1,1,6,30,1,0,0,0101000020346C0000104A2953EC6E1441EF7D0C0B095D1541
188,-3.008928,53.076913,W01000374,60,2016-03-07,3,1,1,6,30,1,0,0,0101000020346C00002014CE5D6C4B144113A83257B9971541
189,-2.9394,53.038063,W01000383,60,2016-03-08,2,2,1,6,30,1,0,0,0101000020346C00004E8A9792509314411BE58F0135531541
190,-3.739972,53.245838,W01000122,60,2016-03-08,3,1,2,6,60,8,0,0,0101000020346C0000D6D8768A64551141B46046FAFFCB1641
191,-2.973016,53.040652,W01000413,60,2016-03-09,2,2,1,1,20,1,0,0,0101000020346C000046F7D84C2870144188960E4B2D581541
192,-3.029794,53.025431,W01000410,60,2016-03-10,3,2,1,3,70,1,0,0,0101000020346C0000D2398EF24B341441D4BFE73F8D3E1541
193,-3.798047,53.245398,W01001926,60,2016-03-10,3,2,3,6,60,1,0,0,0101000020346C000089CD0A35D4181141716658CCBBCC1641
